-84.0	-84.0	-16.5	DAVH
-84.0	-84.0	6.0	HVDA
-84.0	-84.0	28.5	ADHV
-84.0	-84.0	51.0	VHAD
-84.0	-84.0	73.5	DAVH
-84.0	6.0	-90.0	HVAD
-84.0	6.0	-67.5	DAHV
-84.0	6.0	-45.0	VHDA
-84.0	6.0	-22.5	ADVH
-84.0	6.0	-0.0	HVAD
-84.0	6.0	22.5	DAHV
-84.0	6.0	45.0	VHDA
-84.0	6.0	67.5	ADVH
-84.0	6.0	90.0	HVAD
-83.5	-83.5	-83.5	HVDA
-83.5	-83.5	-61.0	ADHV
-83.5	-83.5	-38.5	VHAD
-83.5	-83.5	-16.0	DAVH
-83.5	-83.5	6.5	HVDA
-83.5	-83.5	29.0	ADHV
-83.5	-83.5	51.5	VHAD
-83.5	-83.5	74.0	DAVH
-83.5	6.5	-90.0	HVAD
-83.5	6.5	-67.5	DAHV
-83.5	6.5	-45.0	VHDA
-83.5	6.5	-22.5	ADVH
-83.5	6.5	-0.0	HVAD
-83.5	6.5	22.5	DAHV
-83.5	6.5	45.0	VHDA
-83.5	6.5	67.5	ADVH
-83.5	6.5	90.0	HVAD
-83.0	-83.0	-83.0	HVDA
-83.0	-83.0	-60.5	ADHV
-83.0	-83.0	-38.0	VHAD
-83.0	-83.0	-15.5	DAVH
-83.0	-83.0	7.0	HVDA
-83.0	-83.0	29.5	ADHV
-83.0	-83.0	52.0	VHAD
-83.0	-83.0	74.5	DAVH
-83.0	7.0	-90.0	HVAD
-83.0	7.0	-67.5	DAHV
-83.0	7.0	-45.0	VHDA
-83.0	7.0	-22.5	ADVH
-83.0	7.0	-0.0	HVAD
-83.0	7.0	22.5	DAHV
-83.0	7.0	45.0	VHDA
-83.0	7.0	67.5	ADVH
-83.0	7.0	90.0	HVAD
-82.5	-82.5	-82.5	HVDA
-82.5	-82.5	-60.0	ADHV
-82.5	-82.5	-37.5	VHAD
-82.5	-82.5	-15.0	DAVH
-82.5	-82.5	7.5	HVDA
-82.5	-82.5	30.0	ADHV
-82.5	-82.5	52.5	VHAD
-82.5	-82.5	75.0	DAVH
-82.5	7.5	-90.0	HVAD
-82.5	7.5	-67.5	DAHV
-82.5	7.5	-45.0	VHDA
-82.5	7.5	-22.5	ADVH
-82.5	7.5	-0.0	HVAD
-82.5	7.5	22.5	DAHV
-82.5	7.5	45.0	VHDA
-82.5	7.5	67.5	ADVH
-82.5	7.5	90.0	HVAD
-82.0	-82.0	-82.0	HVDA
-82.0	-82.0	-59.5	ADHV
-82.0	-82.0	-37.0	VHAD
-82.0	-82.0	-14.5	DAVH
-82.0	-82.0	8.0	HVDA
-82.0	-82.0	30.5	ADHV
-82.0	-82.0	53.0	VHAD
-82.0	-82.0	75.5	DAVH
-82.0	8.0	-90.0	HVAD
-82.0	8.0	-67.5	DAHV
-82.0	8.0	-45.0	VHDA
-82.0	8.0	-22.5	ADVH
-82.0	8.0	-0.0	HVAD
-82.0	8.0	22.5	DAHV
-82.0	8.0	45.0	VHDA
-82.0	8.0	67.5	ADVH
-82.0	8.0	90.0	HVAD
-81.5	-81.5	-81.5	HVDA
-81.5	-81.5	-59.0	ADHV
-81.5	-81.5	-36.5	VHAD
-81.5	-81.5	-14.0	DAVH
-81.5	-81.5	8.5	HVDA
-81.5	-81.5	31.0	ADHV
-81.5	-81.5	53.5	VHAD
-81.5	-81.5	76.0	DAVH
-81.5	8.5	-90.0	HVAD
-81.5	8.5	-67.5	DAHV
-81.5	8.5	-45.0	VHDA
-81.5	8.5	-22.5	ADVH
-81.5	8.5	-0.0	HVAD
-81.5	8.5	22.5	DAHV
-81.5	8.5	45.0	VHDA
-81.5	8.5	67.5	ADVH
-81.5	8.5	90.0	HVAD
-81.0	-81.0	-81.0	HVDA
-81.0	-81.0	-58.5	ADHV
-81.0	-81.0	-36.0	VHAD
-81.0	-81.0	-13.5	DAVH
-81.0	-81.0	9.0	HVDA
-81.0	-81.0	31.5	ADHV
-81.0	-81.0	54.0	VHAD
-81.0	-81.0	76.5	DAVH
-81.0	9.0	-90.0	HVAD
-81.0	9.0	-67.5	DAHV
-81.0	9.0	-45.0	VHDA
-81.0	9.0	-22.5	ADVH
-81.0	9.0	-0.0	HVAD
-81.0	9.0	22.5	DAHV
-81.0	9.0	45.0	VHDA
-81.0	9.0	67.5	ADVH
-81.0	9.0	90.0	HVAD
-80.5	-80.5	-80.5	HVDA
-80.5	-80.5	-58.0	ADHV
-80.5	-80.5	-35.5	VHAD
-80.5	-80.5	-13.0	DAVH
-80.5	-80.5	9.5	HVDA
-80.5	-80.5	32.0	ADHV
-80.5	-80.5	54.5	VHAD
-80.5	-80.5	77.0	DAVH
-80.5	9.5	-90.0	HVAD
-80.5	9.5	-67.5	DAHV
-80.5	9.5	-45.0	VHDA
-80.5	9.5	-22.5	ADVH
-80.5	9.5	-0.0	HVAD
-80.5	9.5	22.5	DAHV
-80.5	9.5	45.0	VHDA
-80.5	9.5	67.5	ADVH
-80.5	9.5	90.0	HVAD
-80.0	-80.0	-80.0	HVDA
-80.0	-80.0	-57.5	ADHV
-80.0	-80.0	-35.0	VHAD
-80.0	-80.0	-12.5	DAVH
-80.0	-80.0	10.0	HVDA
-80.0	-80.0	32.5	ADHV
-80.0	-80.0	55.0	VHAD
-80.0	-80.0	77.5	DAVH
-80.0	10.0	-90.0	HVAD
-80.0	10.0	-67.5	DAHV
-80.0	10.0	-45.0	VHDA
-80.0	10.0	-22.5	ADVH
-80.0	10.0	-0.0	HVAD
-80.0	10.0	22.5	DAHV
-80.0	10.0	45.0	VHDA
-80.0	10.0	67.5	ADVH
-80.0	10.0	90.0	HVAD
-79.5	-79.5	-79.5	HVDA
-79.5	-79.5	-57.0	ADHV
-79.5	-79.5	-34.5	VHAD
-79.5	-79.5	-12.0	DAVH
-79.5	-79.5	10.5	HVDA
-79.5	-79.5	33.0	ADHV
-79.5	-79.5	55.5	VHAD
-79.5	-79.5	78.0	DAVH
-79.5	10.5	-90.0	HVAD
-79.5	10.5	-67.5	DAHV
-79.5	10.5	-45.0	VHDA
-79.5	10.5	-22.5	ADVH
-79.5	10.5	-0.0	HVAD
-79.5	10.5	22.5	DAHV
-79.5	10.5	45.0	VHDA
-79.5	10.5	67.5	ADVH
-79.5	10.5	90.0	HVAD
-79.0	-79.0	-79.0	HVDA
-79.0	-79.0	-56.5	ADHV
-79.0	-79.0	-34.0	VHAD
-79.0	-79.0	-11.5	DAVH
-79.0	-79.0	11.0	HVDA
-79.0	-79.0	33.5	ADHV
-79.0	-79.0	56.0	VHAD
-79.0	-79.0	78.5	DAVH
-79.0	11.0	-90.0	HVAD
-79.0	11.0	-67.5	DAHV
-79.0	11.0	-45.0	VHDA
-79.0	11.0	-22.5	ADVH
-79.0	11.0	-0.0	HVAD
-79.0	11.0	22.5	DAHV
-79.0	11.0	45.0	VHDA
-79.0	11.0	67.5	ADVH
-79.0	11.0	90.0	HVAD
-78.5	-78.5	-78.5	HVDA
-78.5	-78.5	-56.0	ADHV
-78.5	-78.5	-33.5	VHAD
-78.5	-78.5	-11.0	DAVH
-78.5	-78.5	11.5	HVDA
-78.5	-78.5	34.0	ADHV
-78.5	-78.5	56.5	VHAD
-78.5	-78.5	79.0	DAVH
-78.5	11.5	-90.0	HVAD
-78.5	11.5	-67.5	DAHV
-78.5	11.5	-45.0	VHDA
-78.5	11.5	-22.5	ADVH
-78.5	11.5	-0.0	HVAD
-78.5	11.5	22.5	DAHV
-78.5	11.5	45.0	VHDA
-78.5	11.5	67.5	ADVH
-78.5	11.5	90.0	HVAD
-78.0	-78.0	-78.0	HVDA
-78.0	-78.0	-55.5	ADHV
-78.0	-78.0	-33.0	VHAD
-78.0	-78.0	-10.5	DAVH
-78.0	-78.0	12.0	HVDA
-78.0	-78.0	34.5	ADHV
-78.0	-78.0	57.0	VHAD
-78.0	-78.0	79.5	DAVH
-78.0	12.0	-90.0	HVAD
-78.0	12.0	-67.5	DAHV
-78.0	12.0	-45.0	VHDA
-78.0	12.0	-22.5	ADVH
-78.0	12.0	-0.0	HVAD
-78.0	12.0	22.5	DAHV
-78.0	12.0	45.0	VHDA
-78.0	12.0	67.5	ADVH
-78.0	12.0	90.0	HVAD
-77.5	-77.5	-77.5	HVDA
-77.5	-77.5	-55.0	ADHV
-77.5	-77.5	-32.5	VHAD
-77.5	-77.5	-10.0	DAVH
-77.5	-77.5	12.5	HVDA
-77.5	-77.5	35.0	ADHV
-77.5	-77.5	57.5	VHAD
-77.5	-77.5	80.0	DAVH
-77.5	12.5	-90.0	HVAD
-77.5	12.5	-67.5	DAHV
-77.5	12.5	-45.0	VHDA
-77.5	12.5	-22.5	ADVH
-77.5	12.5	-0.0	HVAD
-77.5	12.5	22.5	DAHV
-77.5	12.5	45.0	VHDA
-77.5	12.5	67.5	ADVH
-77.5	12.5	90.0	HVAD
-77.0	-77.0	-77.0	HVDA
-77.0	-77.0	-54.5	ADHV
-77.0	-77.0	-32.0	VHAD
-77.0	-77.0	-9.5	DAVH
-77.0	-77.0	13.0	HVDA
-77.0	-77.0	35.5	ADHV
-77.0	-77.0	58.0	VHAD
-77.0	-77.0	80.5	DAVH
-77.0	13.0	-90.0	HVAD
-77.0	13.0	-67.5	DAHV
-77.0	13.0	-45.0	VHDA
-77.0	13.0	-22.5	ADVH
-77.0	13.0	-0.0	HVAD
-77.0	13.0	22.5	DAHV
-77.0	13.0	45.0	VHDA
-77.0	13.0	67.5	ADVH
-77.0	13.0	90.0	HVAD
-76.5	-76.5	-76.5	HVDA
-76.5	-76.5	-54.0	ADHV
-76.5	-76.5	-31.5	VHAD
-76.5	-76.5	-9.0	DAVH
-76.5	-76.5	13.5	HVDA
